;Доброжела­тельность мира;Справедливость;Образ «Я»;Удача;Убеждения о контроле
sex;0;0;0;0;0
1;0;0;0;0;0.5
2;0;0;-0.6;0;0
3;0;0;0;0.5;0
4;0;0;0;0;0.5
5;-0.4;0;0;0;0
6;0;-0.5;0;0;0
7;0;0;-0.5;0;0
8;0;0;0;-0.5;0
9;0;0;0;0;0.5
10;-0.4;0;0;0;0
11;0;0.5;0;0;0
12;0;0;0.5;0;0
13;-0.4;0;0;0;0
14;0;0;0;-0.5;0
15;0.4;0;0;0;0
16;0;0;0;0;0.5
17;0;0;0.6;0;0
18;-0.4;0;0;0;0
19;-0.4;0;0;0;0
20;0;0;0;-0.5;0
21;0;0.5;0;0;0
22;0;0.5;0;0;0
23;0;0;0.5;0;0
24;0;0;0;0;-0.5
25;0;0;0;-0.5;0
26;0;0;0;0;-0.5
27;-0.4;0;0;0;0
28;0;0;0;0.5;0
29;0;-0.5;0;0;0
30;0;0;0;0;0.5
31;0.4;0;0;0;0
32;0;0;0;0.5;0
33;-0.4;0;0;0;0
34;0;0.5;0;0;0
35;0;0;0.6;0;0
36;0;0;0;0.5;0
37;0;0;-0.5;0;0
intercept;12;1.2;3.4;6;-0.9
