;Экстраверсия/Интроверсия;Нейротизм;Психотизм;Контрольная шкала
sex;0;0;0;0
1;0;-2;0;0
2;0;0;1;0
3;-2;0;0;0
4;0;0;0;-1
5;0;-2;0;0
6;0;0;1;0
7;-2;0;0;0
8;0;0;0;1
9;0;-2;0;0
10;0;0;-1;0
11;-2;0;0;0
12;0;0;0;1
13;0;-2;0;0
14;0;0;-1;0
15;-2;0;0;0
16;0;0;0;-1
17;0;-2;0;0
18;0;0;1;0
19;-2;0;0;0
20;0;0;0;1
21;0;-2;0;0
22;0;0;-1;0
23;-2;0;0;0
24;0;0;0;1
25;0;-2;0;0
26;0;0;1;0
27;2;0;0;0
28;0;0;1;0
29;0;0;0;1
30;0;-2;0;0
31;0;0;-1;0
32;-2;0;0;0
33;0;0;0;1
34;0;-2;0;0
35;0;0;1;0
36;-2;0;0;0
37;0;0;0;1
38;0;-2;0;0
39;0;0;-1;0
40;0;0;0;1
41;2;0;0;0
42;0;-2;0;0
43;0;0;1;0
44;-2;0;0;0
45;0;0;0;-1
46;0;-2;0;0
47;0;0;0;1
48;-2;0;0;0
intercept;36;48;3;-3
