;question
1;сейчас, в данный момент Я нахожусь в напряжении
2;сейчас, в данный момент Я расстроен
3;сейчас, в данный момент Я тревожусь о будущем
4;сейчас, в данный момент Я нервничаю
5;сейчас, в данный момент Я озабочен
6;сейчас, в данный момент Я возбужден
7;сейчас, в данный момент Я ощущаю непонятную угрозу
8;сейчас, в данный момент Я быстро устаю
9;сейчас, в данный момент Я не уверен в себе
10;сейчас, в данный момент Я избегаю любых конфликтов
11;сейчас, в данный момент Я легко прихожу в замешательство
12;сейчас, в данный момент Я ощущаю свою бесполезность
13;сейчас, в данный момент Я плохо сплю
14;сейчас, в данный момент Я ощущаю себя утомленным
15;сейчас, в данный момент Я эмоционально чувствителен
16;в последнее время Я находился в напряжении
17;в последнее время Я расстраивался
18;в последнее время Я тревожился о будущем
19;в последнее время Я нервничал
20;в последнее время Я бывал озабочен
21;в последнее время Я бывал возбужден
22;в последнее время Я ощущал непонятную угрозу
23;в последнее время Я быстро уставал
24;в последнее время Я бывал не уверен в себе
25;в последнее время Я избегал любых конфликтов
26;в последнее время Я легко приходил в замешательство
27;в последнее время Я ощущал свою бесполезность
28;в последнее время Я плохо спал
29;в последнее время Я ощущал себя утомленным
30;в последнее время Я бывал эмоционально чувствителен
